row_id,microbusiness_density
1001_2022-11-01,3.4530950694052094
1003_2022-11-01,7.887177480217659
1005_2022-11-01,1.0748708236168671
1007_2022-11-01,1.1378647506583837
1009_2022-11-01,1.679529747574216
1011_2022-11-01,1.0017707896999006
1013_2022-11-01,2.1790621581517904
1015_2022-11-01,2.7957851731027876
1017_2022-11-01,1.4771796836225661
1019_2022-11-01,1.1700044679419606
1021_2022-11-01,1.8177179974670665
1023_2022-11-01,1.692158693624367
1025_2022-11-01,1.3849444846661274
1027_2022-11-01,1.6190240709707309
1029_2022-11-01,1.3849444846661274
1031_2022-11-01,2.224712550853886
1033_2022-11-01,2.4343733802827576
1035_2022-11-01,1.1403270941655588
1037_2022-11-01,0.8525119922327276
1039_2022-11-01,1.6958028194997434
1041_2022-11-01,1.1121601164482158
1043_2022-11-01,2.7026848844493565
1045_2022-11-01,1.7760727656621844
1047_2022-11-01,1.5000461520443875
1049_2022-11-01,2.2703310595465798
1051_2022-11-01,3.2511985778200554
1053_2022-11-01,1.9549774037816243
1055_2022-11-01,2.736321988654965
1057_2022-11-01,1.0937253909183886
1059_2022-11-01,1.9421742320329123
1061_2022-11-01,1.4669308229076288
1063_2022-11-01,1.4601915411909316
1065_2022-11-01,1.184987856108905
1067_2022-11-01,2.4603657103659944
1069_2022-11-01,3.434784758139915
1071_2022-11-01,1.8032200777440934
1073_2022-11-01,6.415106632738271
1075_2022-11-01,0.8168410477225294
1077_2022-11-01,4.043770705587508
1079_2022-11-01,1.2369875167276778
1081_2022-11-01,4.036405428514992
1083_2022-11-01,2.964389710689685
1085_2022-11-01,1.4075188851640086
1087_2022-11-01,1.8857024030555698
1089_2022-11-01,6.493767611549216
1091_2022-11-01,1.206605899838095
1093_2022-11-01,1.4829592273400851
1095_2022-11-01,2.7782631759939487
1097_2022-11-01,4.128436680718417
1099_2022-11-01,1.1160474997650345
1101_2022-11-01,4.709700124952233
1103_2022-11-01,3.0381777769525145
1105_2022-11-01,0.5939606276278948
1107_2022-11-01,0.701928748590177
1109_2022-11-01,1.998963623001113
1111_2022-11-01,5.269143014958742
1113_2022-11-01,2.5438759967329814
1115_2022-11-01,3.0217597688611546
1117_2022-11-01,7.305889058601116
1119_2022-11-01,0.9153868060903559
1121_2022-11-01,1.551042895343986
1123_2022-11-01,3.9121540802376567
1125_2022-11-01,4.070382695777791
1127_2022-11-01,1.6287778295720414
1129_2022-11-01,0.9626596499544857
1131_2022-11-01,1.1595421635896381
1133_2022-11-01,3.5533890866916735
2013_2022-11-01,0.9139342445976504
2016_2022-11-01,1.2920792841167386
2020_2022-11-01,6.689342662801104
2050_2022-11-01,0.7463737394108811
2060_2022-11-01,15.867361136875788
2068_2022-11-01,14.005533746605002
2070_2022-11-01,1.5750463933795358
2090_2022-11-01,3.611882052788647
2100_2022-11-01,5.720560098613889
2105_2022-11-01,4.926338784399611
2110_2022-11-01,4.073079803476183
2122_2022-11-01,5.604509280579129
2130_2022-11-01,5.734097160111485
2150_2022-11-01,2.8274608097214595
